Treatment,AvgTemp,WaterLeft,EcLeft,WeightedSpad,new_leaf,Size_temp,Avg_temp,Max_temp
A,36,125,0.04,60.97142857,0,17584,2734.390469,3474
A,36,125,0.04,59.71428571,1,22801,2779.561949,3537
A,36,125,0.04,58.45714286,1,21093,2782.72076,3474
A,36,125,0.04,57.2,0,18555,2782.037241,3675
A,36,125,0.04,58.26666667,1,20007,2763.844554,3600
A,36,125,0.04,59.33333333,0,23997,2749.319165,3774
A,36,125,0.04,60.4,0,27853,2758.363228,3581
A,36,125,0.04,61.46666667,0,18537,2801.667476,3812
A,36,125,0.04,62.53333333,0,20719,2828.006661,3547
A,36,125,0.04,63.6,0,17420,2846.635189,3541
A,36,125,0.04,63.41666667,0,19769,2837.230765,3899
A,36,125,0.04,63.23333333,0,21055,2869.738304,3811
A,36,125,0.04,63.05,0,20033,2927.426047,3995
A,36,125,0.04,62.86666667,0,15149,2908.960789,3884
A,36,125,0.04,62.68333333,1,20662,2867.920676,3743
A,36,125,0.04,62.5,0,18632,2802.565693,3615
A,36,125,0.04,62.95,0,17265,2863.872401,3869
A,36,125,0.04,63.4,0,18128,2858.334951,3574
A,36,125,0.04,63.85,0,24031,2832.497607,3700
A,36,125,0.04,64.3,1,28316,2858.814628,3619
A,36,125,0.04,64.75,0,19551,2842.824203,3537
A,36,125,0.04,65.2,0,21036,2819.121839,3817
A,36,125,0.04,65.2,0,23673,2672.739492,3581
A,36,125,0.04,65.2,0,28402,2657.148475,3472
A,36,125,0.04,65.2,0,20131,2704.25349,3602
B,36,120,-0.065,56.6,0,19333,2685.123726,3398
B,36,120,-0.065,56.6,0,18809,2725.150141,3537
B,36,120,-0.065,58.2,0,23806,2719.339704,3372
B,36,120,-0.065,59.8,0,18539,2702.058471,3276
B,36,120,-0.065,61.4,1,22390,2661.108665,3335
B,36,120,-0.065,63,1,23920,2675.095443,3320
B,36,120,-0.065,64.6,0,17661,2658.335258,3366
B,36,120,-0.065,66.2,0,15557,2674.237771,3326
B,36,120,-0.065,67.8,1,20507,2732.414054,3404
B,36,120,-0.065,67.28333333,0,29082,2691.954027,3619
B,36,120,-0.065,66.76666667,0,21520,2716.436199,3522
B,36,120,-0.065,66.25,0,30948,2759.610056,3372
B,36,120,-0.065,65.73333333,0,22305,2755.614929,3444
B,36,120,-0.065,65.21666667,1,22506,2936.353284,3652
B,36,120,-0.065,64.7,0,19741,2917.057191,3650
B,36,120,-0.065,65.4,0,18295,2941.706805,3624
B,36,120,-0.065,66.1,0,22312,2891.258336,3538
B,36,120,-0.065,66.8,0,23913,2952.072555,3641
